model,cv_rmsle_mean,cv_rmsle_std,best_params
ElasticNet,0.1128736981401065,0.006632991157456328,"{'alpha': 0.001, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 30000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}"
Ridge,0.11480386363898198,0.008351377383772104,"{'alpha': 10.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}"
